,A1 (Landfilling),A2 (AD),A3 (Incineration),A4 (Pyrolysis),A5 (Plasma),A6 (Gasification),,
C1,0.059,0.118,0.147,0.206,0.265,0.206,,
C2,0.071,0.107,0.107,0.214,0.25,0.25,,
C3,0.114,0.114,0.171,0.2,0.229,0.171,,
C4,0.081,0.135,0.162,0.189,0.243,0.189,,
C5,0.243,0.216,0.189,0.081,0.135,0.135,,
C6,0.179,0.25,0.214,0.143,0.071,0.143,,
C7,0.128,0.103,0.205,0.179,0.205,0.179,,
C8,0.111,0.167,0.139,0.194,0.222,0.167,,
C9,0.088,0.118,0.206,0.176,0.206,0.206,,
,,,,,,,,
,S1,S2,S3,S4,S5,S6,S7,S8
C1,6,6,8,7,5,8,7,8
C2,5,5,4,1,4,8,6,8
C3,6,5,7,5,4,6,6,6
C4,4,5,8,7,4,6,7,8
C5,6,3,2,7,3,7,4,6
C6,5,7,7,5,1,6,4,6
C7,1,6,6,4,7,1,3,4
C8,2,1,3,5,6,4,1,4
C9,2,5,1,2,7,3,4,1
,,,,,,,,
,S1,S2,S3,S4,S5,S6,S7,S8
C1,2,6,2,6,2,1,7,1
C2,7,6,1,7,2,2,6,2
C3,2,1,5,4,1,3,5,5
C4,1,6,2,4,2,3,5,4
C5,3,2,5,1,5,2,1,2
C6,7,7,6,3,6,5,5,4
C7,5,6,7,8,7,2,3,4
C8,8,8,6,7,8,6,3,5
C9,7,7,8,2,8,6,4,4
,,,,,,,,
Worst comparison,C7,C8,C9,C2,C6,C7,C8,C9
,,,,,,,,
Best comparison,C4,C3,C2,C5,C3,C1,C5,C1
,,,,,,,,
Likelihood,0.1,0.6,0.75,0.2,,,,